epoch,lr,step,test_acc,test_acc_top5,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_loss
0,,29,0.26711028814315796,0.5304180383682251,3.5228450298309326,,,,,,,0.3100000023841858,0.5849999785423279,3.4854190349578857
0,,40,,,,0.17886178195476532,,0.39329269528388977,,3.640557050704956,,,,
1,0.009800000116229057,49,,,,,0.375,,0.5833333134651184,,3.3138227462768555,,,
1,,59,0.33285805583000183,0.6677756309509277,3.274437427520752,,,,,,,0.4099999964237213,0.7450000047683716,3.177823543548584
1,,81,,,,0.37042683362960815,,0.6910569071769714,,3.2363781929016113,,,,
2,,89,0.37595057487487793,0.6859949231147766,3.049466609954834,,,,,,,0.45500001311302185,0.7850000262260437,2.9244396686553955
2,0.01979999989271164,99,,,,,0.5,,0.8333333134651184,,2.910475492477417,,,
2,,119,0.40874528884887695,0.7705955505371094,2.8538389205932617,,,,,,,0.5149999856948853,0.8500000238418579,2.6988730430603027
2,,122,,,,0.4502032399177551,,0.7881097793579102,,2.910851240158081,,,,
3,0.02979999966919422,149,,,,,0.4583333432674408,,0.7916666865348816,,2.525653600692749,,,
3,,149,0.4375790059566498,0.7918248176574707,2.688946008682251,,,,,,,0.5400000214576721,0.8849999904632568,2.513697385787964
3,,163,,,,0.49593496322631836,,0.829776406288147,,2.6484858989715576,,,,
4,,179,0.4600759744644165,0.7995879054069519,2.548248052597046,,,,,,,0.5550000071525574,0.8349999785423279,2.3604331016540527
4,0.039799999445676804,199,,,,,0.5416666865348816,,0.8333333134651184,,2.1519362926483154,,,
4,,204,,,,0.5508130192756653,,0.8607723712921143,,2.4143190383911133,,,,
5,,209,0.488910049200058,0.8363434076309204,2.4064502716064453,,,,,,,0.6000000238418579,0.9049999713897705,2.1902217864990234
5,,239,0.503168523311615,0.8559886813163757,2.2944676876068115,,,,,,,0.5950000286102295,0.9150000214576721,2.0676190853118896
5,,245,,,,0.5970528721809387,,0.8816056847572327,,2.233736753463745,,,,
6,0.049800001084804535,249,,,,,0.7083333134651184,,0.9166666865348816,,2.0543296337127686,,,
6,,269,0.5199621915817261,0.8596322536468506,2.1944363117218018,,,,,,,0.625,0.925000011920929,1.9565207958221436
6,,286,,,,0.6168699264526367,,0.9100610017776489,,2.082310676574707,,,,
7,0.05979999899864197,299,,,,,0.5,,0.9166666865348816,,2.1997933387756348,,,
7,,299,0.5486377477645874,0.8707224726676941,2.1021859645843506,,,,,,,0.6399999856948853,0.9300000071525574,1.857108473777771
7,,327,,,,0.6392276287078857,,0.9090447425842285,,1.9484425783157349,,,,
8,,329,0.5579847693443298,0.8797529339790344,2.020395040512085,,,,,,,0.6600000262260437,0.9399999976158142,1.7647273540496826
8,0.0697999969124794,349,,,,,0.625,,0.875,,2.0306410789489746,,,
8,,359,0.5622622966766357,0.8786439299583435,1.952784776687622,,,,,,,0.6700000166893005,0.9300000071525574,1.689469337463379
8,,368,,,,0.6590447425842285,,0.9283536672592163,,1.8320887088775635,,,,
9,,389,0.5888782143592834,0.8895756006240845,1.876169204711914,,,,,,,0.6850000023841858,0.9399999976158142,1.615543246269226
9,0.07980000227689743,399,,,,,0.6666666865348816,,0.875,,1.6759121417999268,,,
9,,409,,,,0.6732723712921143,,0.915142297744751,,1.747506022453308,,,,
10,,419,0.5969580411911011,0.8903675675392151,1.827683687210083,,,,,,,0.7149999737739563,0.9549999833106995,1.5499801635742188
10,0.08980000019073486,449,,,,,0.75,,1.0,,1.5166020393371582,,,
10,,449,0.6036118865013123,0.8936945199966431,1.7712703943252563,,,,,,,0.699999988079071,0.949999988079071,1.491450309753418
10,,450,,,,0.7037601470947266,,0.9192073345184326,,1.634186863899231,,,,
11,,479,0.6139098405838013,0.8952787518501282,1.7143797874450684,,,,,,,0.7250000238418579,0.9549999833106995,1.4361114501953125
11,,491,,,,0.7007113695144653,,0.9263211488723755,,1.5667715072631836,,,,
12,0.0997999981045723,499,,,,,0.6666666865348816,,0.9166666865348816,,1.6409505605697632,,,
12,,509,0.6238908767700195,0.8993979692459106,1.6606887578964233,,,,,,,0.7400000095367432,0.9549999833106995,1.376900315284729
12,,532,,,,0.7261179089546204,,0.9339430928230286,,1.4937694072723389,,,,
13,,539,0.631653904914856,0.9051014184951782,1.6108862161636353,,,,,,,0.75,0.9549999833106995,1.323471188545227
13,0.09995429217815399,549,,,,,0.75,,0.9583333134651184,,1.3010342121124268,,,
13,,569,0.6487643718719482,0.9100124835968018,1.5498392581939697,,,,,,,0.7599999904632568,0.9599999785423279,1.268070101737976
13,,573,,,,0.7205284833908081,,0.9339430928230286,,1.4449948072433472,,,,
14,0.09981352090835571,599,,,,,0.625,,0.875,,1.6237726211547852,,,
14,,599,0.6593791246414185,0.9153993129730225,1.4888182878494263,,,,,,,0.7699999809265137,0.9599999785423279,1.2013518810272217
14,,614,,,,0.7393292784690857,,0.9344512224197388,,1.3615424633026123,,,,
15,,629,0.6750632524490356,0.9214197397232056,1.4305248260498047,,,,,,,0.7950000166893005,0.9649999737739563,1.141141414642334
15,0.09957791864871979,649,,,,,0.7916666865348816,,0.9166666865348816,,1.2092399597167969,,,
15,,655,,,,0.7439024448394775,,0.9420731663703918,,1.2879332304000854,,,,
16,,659,0.6817174553871155,0.9318757653236389,1.3704402446746826,,,,,,,0.7950000166893005,0.9599999785423279,1.0794845819473267
16,,689,0.6928075551986694,0.9345688223838806,1.321925163269043,,,,,,,0.8050000071525574,0.9750000238418579,1.0301885604858398
16,,696,,,,0.7611788511276245,,0.9375,,1.2039862871170044,,,,
17,0.09924794733524323,699,,,,,0.75,,1.0,,1.173616886138916,,,
17,,719,0.704372763633728,0.9372619986534119,1.276888370513916,,,,,,,0.8199999928474426,0.9649999737739563,0.9925528764724731
17,,737,,,,0.7596544623374939,,0.9486788511276245,,1.1704156398773193,,,,
18,0.09882422536611557,749,,,,,0.7083333134651184,,0.9583333134651184,,1.1320022344589233,,,
18,,749,0.7173636555671692,0.939638614654541,1.2348296642303467,,,,,,,0.8349999785423279,0.9599999785423279,0.9350681900978088
18,,778,,,,0.7688007950782776,,0.9491869807243347,,1.1204516887664795,,,,
19,,779,0.7216415405273438,0.9461337924003601,1.189782977104187,,,,,,,0.8299999833106995,0.9649999737739563,0.889824390411377
19,0.09830756485462189,799,,,,,0.7916666865348816,,1.0,,0.9942697286605835,,,
19,,809,0.7243348360061646,0.9458169937133789,1.1620328426361084,,,,,,,0.8299999833106995,0.9649999737739563,0.8528697490692139
