epoch,lr,step,test_acc,test_acc_top5,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_loss
7,,299,0.2845461070537567,0.4770306646823883,4.988042831420898,,,,,,,0.4449999928474426,0.800000011920929,4.54365348815918
7,,327,,,,0.41107723116874695,,0.6671748161315918,,4.621192932128906,,,,
8,,329,0.28684303164482117,0.48603472113609314,4.905490875244141,,,,,,,0.46000000834465027,0.7900000214576721,4.41869592666626
8,0.0697999969124794,349,,,,,0.5,,0.6666666865348816,,4.322293281555176,,,
8,,359,0.29244762659072876,0.49264997243881226,4.825488567352295,,,,,,,0.46000000834465027,0.800000011920929,4.294707298278809
8,,368,,,,0.4044715464115143,,0.6834349632263184,,4.463050365447998,,,,
9,,389,0.3021405041217804,0.5041804909706116,4.749241352081299,,,,,,,0.48500001430511475,0.8100000023841858,4.173140048980713
9,0.07980000227689743,399,,,,,0.4166666567325592,,0.6666666865348816,,4.107030391693115,,,
9,,409,,,,0.42225611209869385,,0.7007113695144653,,4.305876731872559,,,,
10,,419,0.3063671588897705,0.5082232356071472,4.678493499755859,,,,,,,0.4950000047683716,0.8149999976158142,4.053271770477295
10,0.08980000019073486,449,,,,,0.6666666865348816,,0.9166666865348816,,3.641815185546875,,,
10,,449,0.31399303674697876,0.51571124792099,4.6085333824157715,,,,,,,0.5199999809265137,0.824999988079071,3.9396133422851562
10,,450,,,,0.4456300735473633,,0.7139227390289307,,4.165863990783691,,,,
11,,479,0.3218945264816284,0.5243476629257202,4.5420613288879395,,,,,,,0.5350000262260437,0.8349999785423279,3.831470012664795
11,,491,,,,0.46443089842796326,,0.7235772609710693,,4.024059295654297,,,,
12,0.0997999981045723,499,,,,,0.25,,0.5833333134651184,,4.039431571960449,,,
12,,509,0.3276827335357666,0.5322492718696594,4.475790977478027,,,,,,,0.5350000262260437,0.8399999737739563,3.7220959663391113
12,,532,,,,0.4796747863292694,,0.7428861856460571,,3.8917112350463867,,,,
13,,539,0.33397626876831055,0.5368432402610779,4.414646625518799,,,,,,,0.5450000166893005,0.8600000143051147,3.614907741546631
13,0.09995429217815399,549,,,,,0.5416666865348816,,0.75,,3.274869680404663,,,
13,,569,0.3404538035392761,0.5423100590705872,4.354024410247803,,,,,,,0.5600000023841858,0.8700000047683716,3.516073703765869
13,,573,,,,0.48678863048553467,,0.7362805008888245,,3.7681288719177246,,,,
14,0.09981352090835571,599,,,,,0.4166666567325592,,0.625,,3.8379340171813965,,,
14,,599,0.34849315881729126,0.5487871170043945,4.295812606811523,,,,,,,0.550000011920929,0.8799999952316284,3.4190986156463623
14,,614,,,,0.4898374080657959,,0.764735758304596,,3.6520347595214844,,,,
15,,629,0.35363832116127014,0.5528757572174072,4.240976810455322,,,,,,,0.5699999928474426,0.875,3.322427988052368
15,0.09957791864871979,649,,,,,0.4166666567325592,,0.5833333134651184,,4.094621181488037,,,
15,,655,,,,0.5076219439506531,,0.7581300735473633,,3.552774429321289,,,,
16,,659,0.35997799038887024,0.5626147389411926,4.187835216522217,,,,,,,0.5849999785423279,0.8849999904632568,3.230631113052368
16,,689,0.3659042716026306,0.5662441253662109,4.136507987976074,,,,,,,0.5950000286102295,0.8899999856948853,3.1423451900482178
16,,696,,,,0.5254064798355103,,0.7789633870124817,,3.4512410163879395,,,,
17,0.09924794733524323,699,,,,,0.5833333134651184,,0.8333333134651184,,3.1508681774139404,,,
17,,719,0.37137070298194885,0.5753400325775146,4.087090015411377,,,,,,,0.6000000238418579,0.8899999856948853,3.058000087738037
17,,737,,,,0.5365853905677795,,0.8038617968559265,,3.3327550888061523,,,,
18,0.09882422536611557,749,,,,,0.3333333432674408,,0.75,,3.7243189811706543,,,
18,,749,0.3759646415710449,0.5816338062286377,4.038210868835449,,,,,,,0.6050000190734863,0.8949999809265137,2.9728710651397705
18,,778,,,,0.545223593711853,,0.8145325183868408,,3.2282748222351074,,,,
19,,779,0.37931832671165466,0.5880193710327148,3.992199659347534,,,,,,,0.6200000047683716,0.8999999761581421,2.8925604820251465
19,0.09830756485462189,799,,,,,0.6666666865348816,,0.9583333134651184,,2.9620590209960938,,,
19,,809,0.3849228024482727,0.5944508910179138,3.9469175338745117,,,,,,,0.6150000095367432,0.9049999713897705,2.816743850708008
19,,819,,,,0.5645325183868408,,0.8185975551605225,,3.1185243129730225,,,,
20,,839,0.3889654278755188,0.5994581580162048,3.904475450515747,,,,,,,0.6299999952316284,0.9150000214576721,2.7404630184173584
20,0.09769894927740097,849,,,,,0.5,,0.7916666865348816,,3.2458910942077637,,,
20,,860,,,,0.5630081295967102,,0.8282520174980164,,3.0325658321380615,,,,
21,,869,0.39424824714660645,0.6051087975502014,3.8620479106903076,,,,,,,0.6399999856948853,0.9200000166893005,2.667452096939087
21,0.09699953347444534,899,,,,,0.75,,0.875,,2.2891178131103516,,,
21,,899,0.3965911269187927,0.6093811988830566,3.822314500808716,,,,,,,0.6499999761581421,0.9200000166893005,2.5916247367858887
21,,901,,,,0.5807926654815674,,0.8379064798355103,,2.9636542797088623,,,,
22,,929,0.4010472595691681,0.6152148842811584,3.782869338989258,,,,,,,0.675000011920929,0.9300000071525574,2.5196871757507324
22,,942,,,,0.5960366129875183,,0.8455284833908081,,2.8540515899658203,,,,
